Point,Neighbor,Distance
60,43,0.15311245877646953
61,2,0.17571829945615264
61,28,0.0708222451281937
61,5,0.07303343996405094
61,42,0.13781885703222785
61,6,0.15863793472611004
62,14,0.19776923643159292
62,10,0.1193826619768152
62,24,0.14273263835011366
62,11,0.20091620380449404
62,47,0.23609338293365315
63,25,0.07335270276799082
63,13,0.07640162598035243
63,39,0.07781237788836587
63,18,0.07903056203138811
64,52,0.11931498544494877
64,24,0.06986326022715697
64,61,0.12146973294304994
64,47,0.1486112025533594
65,11,0.16311947497026472
65,49,0.04484113114532399
65,8,0.04859749764190528
65,38,0.127361726771321
65,16,0.17803871350060235
66,34,0.18291224243522944
66,53,0.04213471497350312
66,21,0.09436972181425361
66,18,0.12644399729184075
66,13,0.12741514533980686
67,1,0.1288862771371514
67,32,0.03199931251517267
67,57,0.04169684985926331
67,15,0.05422637922647103
67,31,0.12174440016836989
68,59,0.1652621898679332
68,12,0.08208332359048524
68,42,0.0980382024289539
68,58,0.11921656720375044
68,45,0.11932982160210581
69,28,0.14866058790367107
69,11,0.09266161932777263
69,9,0.1269674234603958
69,33,0.13018356067193826
69,4,0.14809767072374336
70,24,0.18559712734322945
70,60,0.06481367595834374
70,67,0.10903142469791423
70,28,0.10910257454823762
70,5,0.1265278624774528
71,42,0.1352277688591151
71,29,0.034725579719581734
71,56,0.10333060514052357
71,4,0.13742550660844638
72,50,0.13944120569347615
72,34,0.08882413457025967
72,49,0.14864768399266584
72,40,0.15890634482665794
72,3,0.16689546365172098
73,16,0.1745785940455833
73,61,0.06584504803140769
73,63,0.07747581277279252
73,24,0.12875636628395137
73,47,0.1703469296296662
74,10,0.18495504136433166
74,1,0.05410159285064614
74,13,0.06435955790846262
74,18,0.07181067924027067
74,65,0.07882264531909476
75,25,0.08154854497361806
75,52,0.06432715071007732
75,62,0.06797592069384091
75,13,0.10539709068140747
75,1,0.10774249233519907
76,25,0.11632084555203992
76,34,0.07281838190489902
76,71,0.07609092964057443
76,3,0.0985477285054343
76,20,0.10534934268329917
77,38,0.1908535741967518
77,40,0.05799212746690625
77,19,0.08699640457619591
77,51,0.08721240883247772
77,36,0.10895879964378472
78,16,0.16310624298678922
78,63,0.06950442116973761
78,47,0.08742132887190904
78,70,0.1218160009820368
78,72,0.1229333593032964
79,24,0.12353561146486335
79,19,0.03479782140768923
79,36,0.04751691988146609
79,40,0.08892165530434806
79,76,0.09536365908595318
80,51,0.0967220911729787
80,75,0.06884447248263977
80,20,0.09246230590776765
80,3,0.10380476294042218
80,34,0.13566911402860138
81,71,0.13633105079647778
81,52,0.03521535104652034
81,59,0.08567633134212538
81,1,0.08629621888170158
81,74,0.09626083215990752
82,27,0.10079768866970612
82,14,0.07169053532619948
82,42,0.08500166015267044
82,48,0.08851520641579906
82,58,0.10016360256774573
83,67,0.15393357790774118
83,72,0.061329508012157544
83,61,0.10674150208690728
83,63,0.12611399318438432
83,77,0.14571616439351334
84,47,0.15967517828324668
84,56,0.02781505550535288
84,25,0.07833723395973524
84,18,0.07902861617484992
84,39,0.08602992454151484
85,13,0.09282477613096803
85,49,0.06556071362939027
85,34,0.08716844457648576
85,71,0.09005632323514015
85,64,0.10627637337473195
86,38,0.11307568855958237
86,23,0.07872892979811581
86,55,0.10356143087171145
86,46,0.1799118218675922
86,27,0.1806303476896372
87,59,0.2054867939386087
87,16,0.04303033727045258
87,49,0.1080187815881703
87,84,0.12752661351720335
87,40,0.13316865857829296
88,19,0.13536375636928025
88,68,0.03745298344999402
88,11,0.05534750777552202
88,33,0.10411056179702675
88,4,0.12116280811766782
89,9,0.13927926221988213
89,10,0.051128135992893044
89,61,0.06841042400568617
89,72,0.1338393946507667
89,82,0.16477971952464687
90,63,0.18537379770086115
90,37,0.041445845780665555
90,21,0.08630298683787534
90,54,0.08661875616027585
90,9,0.09621788785665213
91,4,0.10381517498352111
91,24,0.05115576039200136
91,11,0.06618239113291338
91,4,0.08696647894933535
92,33,0.0872163994268247
92,54,0.1121525220014781
92,26,0.13047188545626717
92,37,0.14561772037269266
92,89,0.17976973332075274
93,21,0.18669538487903584
93,31,0.048908717749688316
93,48,0.09011945573150329
93,81,0.11446203263569027
93,57,0.12627563680455575
94,14,0.13605416708259233
94,75,0.03561718568425214
94,34,0.04891352286337552
94,3,0.07276589214234422
94,20,0.08706165712023738
95,79,0.08775732995979899
95,42,0.04454541230614805
